benchmark_id,target,scale_group,condition,image_name,item_id,category_name,visibility,prompt,threshold,roi_margin_ratio,roi_bbox,local_windows,local_enlarge_factor,detected,num_detections,top_score,mean_score,top_box_area_ratio,inference_seconds,detections_json
sleeve_001,sleeve,larger_part,full_image,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.3287922441959381,0.3287922441959381,0.9876418099704157,0.9235768979415298,"[{""label"": ""sleeve"", ""score"": 0.3287922441959381, ""box"": [1.943833351135254, 0.8897194862365723, 466.281005859375, 622.0396728515625]}]"
sleeve_001,sleeve,larger_part,roi_conditioned,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.3287922441959381,0.3287922441959381,0.9876418099704157,0.13526400201953948,"[{""label"": ""sleeve"", ""score"": 0.3287922441959381, ""box"": [1.943833351135254, 0.8897194862365723, 466.281005859375, 622.0396728515625]}]"
sleeve_001,sleeve,larger_part,local_enlarged,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,yes,1,0.3045786917209625,0.3045786917209625,0.2614479879502812,0.21828925900626928,"[{""label"": ""sleeve"", ""score"": 0.3045786917209625, ""box"": [0.3531990051269531, 12.033050537109375, 167.79742431640625, 468.0128173828125]}]"
sleeve_002,sleeve,larger_part,full_image,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]",[],1.0,no,0,,,,0.1364781070733443,[]
sleeve_002,sleeve,larger_part,roi_conditioned,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]",[],1.0,no,0,,,,0.13433883199468255,[]
sleeve_002,sleeve,larger_part,local_enlarged,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]","[[0, 9, 224, 350], [399, 9, 623, 350]]",1.0,no,0,,,,0.2986194579862058,[]
sleeve_003,sleeve,larger_part,full_image,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.13150239700917155,[]
sleeve_003,sleeve,larger_part,roi_conditioned,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.13179252296686172,[]
sleeve_003,sleeve,larger_part,local_enlarged,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,no,0,,,,0.19865309295710176,[]
sleeve_004,sleeve,larger_part,full_image,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]",[],1.0,no,0,,,,0.11787305003963411,[]
sleeve_004,sleeve,larger_part,roi_conditioned,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]",[],1.0,no,0,,,,0.11969161091838032,[]
sleeve_004,sleeve,larger_part,local_enlarged,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]","[[0, 9, 125, 350], [225, 9, 350, 350]]",1.0,no,0,,,,0.19871589203830808,[]
sleeve_005,sleeve,larger_part,full_image,182793.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.11948247707914561,[]
sleeve_005,sleeve,larger_part,roi_conditioned,182793.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.12031906098127365,[]
sleeve_005,sleeve,larger_part,local_enlarged,182793.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,no,0,,,,0.20059771195519716,[]
sleeve_006,sleeve,larger_part,full_image,151051.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 624]",[],1.0,no,0,,,,0.12601478502620012,[]
sleeve_006,sleeve,larger_part,roi_conditioned,151051.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 624]",[],1.0,no,0,,,,0.12162656208965927,[]
sleeve_006,sleeve,larger_part,local_enlarged,151051.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 624]","[[0, 12, 167, 468], [300, 12, 467, 468]]",1.0,no,0,,,,0.19649349397514015,[]
sleeve_007,sleeve,larger_part,full_image,067370.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.4322286546230316,0.4322286546230316,0.989860965661502,0.12007625494152308,"[{""label"": ""sleeve"", ""score"": 0.4322286546230316, ""box"": [1.4894939661026, 0.6083335876464844, 466.683349609375, 622.0075073242188]}]"
sleeve_007,sleeve,larger_part,roi_conditioned,067370.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.4322286546230316,0.4322286546230316,0.989860965661502,0.1351118179736659,"[{""label"": ""sleeve"", ""score"": 0.4322286546230316, ""box"": [1.4894939661026, 0.6083335876464844, 466.683349609375, 622.0075073242188]}]"
sleeve_007,sleeve,larger_part,local_enlarged,067370.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,yes,1,0.36343440413475037,0.36343440413475037,0.26144088324641185,0.21029480500146747,"[{""label"": ""sleeve"", ""score"": 0.36343440413475037, ""box"": [0.2677130699157715, 12.00975751876831, 167.70249938964844, 468.0028381347656]}]"
sleeve_008,sleeve,larger_part,full_image,116985.jpg,item1,long sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.40242812037467957,0.40242812037467957,0.9930624082698999,0.12303265603259206,"[{""label"": ""sleeve"", ""score"": 0.40242812037467957, ""box"": [0.02887129783630371, 3.878089427947998, 468.028564453125, 623.5494384765625]}]"
sleeve_008,sleeve,larger_part,roi_conditioned,116985.jpg,item1,long sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.40242812037467957,0.40242812037467957,0.9930624082698999,0.12148993404116482,"[{""label"": ""sleeve"", ""score"": 0.40242812037467957, ""box"": [0.02887129783630371, 3.878089427947998, 468.028564453125, 623.5494384765625]}]"
sleeve_008,sleeve,larger_part,local_enlarged,116985.jpg,item1,long sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,no,0,,,,0.20278854598291218,[]
sleeve_009,sleeve,larger_part,full_image,061410.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 350]",[],1.0,yes,1,0.42348262667655945,0.42348262667655945,0.9502827428145606,0.1186774339294061,"[{""label"": ""sleeve"", ""score"": 0.42348262667655945, ""box"": [0.6231179237365723, 15.339330673217773, 466.63116455078125, 350.3143310546875]}]"
sleeve_009,sleeve,larger_part,roi_conditioned,061410.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 350]",[],1.0,yes,1,0.42348262667655945,0.42348262667655945,0.9502827428145606,0.11825486004818231,"[{""label"": ""sleeve"", ""score"": 0.42348262667655945, ""box"": [0.6231179237365723, 15.339330673217773, 466.63116455078125, 350.3143310546875]}]"
sleeve_009,sleeve,larger_part,local_enlarged,061410.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 350]","[[0, 7, 167, 262], [300, 7, 467, 262]]",1.0,yes,2,0.323066383600235,0.3220348060131073,0.2616991935311547,0.28468509088270366,"[{""label"": ""sleeve"", ""score"": 0.323066383600235, ""box"": [0.015821456909179688, 7.0282135009765625, 168.015625, 262.91424560546875]}, {""label"": ""sleeve"", ""score"": 0.3210032284259796, ""box"": [300.1382575035095, 16.081390380859375, 465.08563232421875, 262.3733215332031]}]"
sleeve_010,sleeve,larger_part,full_image,114181.jpg,item1,long sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.12743806408252567,[]
sleeve_010,sleeve,larger_part,roi_conditioned,114181.jpg,item1,long sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,no,0,,,,0.12194833694957197,[]
sleeve_010,sleeve,larger_part,local_enlarged,114181.jpg,item1,long sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 12, 167, 467], [300, 12, 467, 467]]",1.0,no,0,,,,0.20650089101400226,[]
sleeve_011,sleeve,larger_part,full_image,119516.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],1.0,yes,1,0.31780725717544556,0.31780725717544556,0.99459232339495,0.1221119350520894,"[{""label"": ""sleeve"", ""score"": 0.31780725717544556, ""box"": [0.799456000328064, 0.17731904983520508, 467.0047607421875, 623.1920776367188]}]"
