group_id,target,prompt_type,prompt,image_name,label,score,bbox_area_ratio
1,sleeve,baseline,sleeve,072098.jpg,sleeve,0.32848110795021057,0.1746336411240821
1,sleeve,baseline,sleeve,064197.jpg,sleeve,0.41177213191986084,0.3134080071006209
1,sleeve,baseline,sleeve,058514.jpg,sleeve,0.3248346149921417,0.07246957857373673
1,sleeve,baseline,sleeve,036580.jpg,sleeve,0.30018123984336853,0.15390345124876897
1,sleeve,baseline,sleeve,026869.jpg,sleeve,0.3363802134990692,0.26590094070679376
1,sleeve,baseline,sleeve,142965.jpg,sleeve,0.3626832962036133,0.07758203260162243
1,sleeve,baseline,sleeve,022791.jpg,sleeve,0.43775033950805664,0.11962629139015088
1,sleeve,baseline,sleeve,008332.jpg,sleeve,0.3293820321559906,0.047385726707824004
1,sleeve,baseline,sleeve,024562.jpg,sleeve,0.39281946420669556,0.19109815467983884
1,sleeve,baseline,sleeve,057315.jpg,sleeve,0.36178576946258545,0.04639247024102063
1,sleeve,baseline,sleeve,132476.jpg,sleeve,0.31130239367485046,0.4303002577942963
1,sleeve,baseline,sleeve,157816.jpg,sleeve,0.31249845027923584,0.34656338209106274
1,sleeve,baseline,sleeve,006957.jpg,sleeve,0.3421469032764435,0.42449962786707873
1,sleeve,baseline,sleeve,147128.jpg,sleeve,0.4503037631511688,0.39143539335945876
1,sleeve,baseline,sleeve,052125.jpg,sleeve,0.3506576716899872,0.053999235689152554
1,sleeve,baseline,sleeve,187701.jpg,sleeve,0.34025391936302185,0.14888994980859177
1,sleeve,baseline,sleeve,183849.jpg,sleeve,0.3061683475971222,0.21848629189986468
1,sleeve,baseline,sleeve,142854.jpg,sleeve,0.4600033462047577,0.537229623325724
1,sleeve,baseline,sleeve,109975.jpg,sleeve,0.30928194522857666,0.4770839375822513
1,sleeve,baseline,sleeve,072927.jpg,sleeve,0.3182743191719055,0.324258264725373
1,sleeve,baseline,sleeve,183014.jpg,sleeve,0.3073631525039673,0.06865023410592527
1,sleeve,baseline,sleeve,110786.jpg,sleeve,0.3745199143886566,0.0986250686055033
1,sleeve,baseline,sleeve,089195.jpg,sleeve,0.3018750250339508,0.1305815826667986
1,sleeve,baseline,sleeve,056444.jpg,sleeve,0.3251666724681854,0.521836032227018
1,sleeve,baseline,sleeve,088237.jpg,sleeve,0.3216140568256378,0.2817566539066905
1,sleeve,baseline,sleeve,026794.jpg,sleeve,0.4032435715198517,0.5152847520662772
1,sleeve,baseline,sleeve,024313.jpg,sleeve,0.364663690328598,0.697212231801353
1,sleeve,baseline,sleeve,099596.jpg,sleeve,0.4537316858768463,0.3245623207621741
1,sleeve,baseline,sleeve,025354.jpg,sleeve,0.3138134777545929,0.4575065628616766
