audit_id,group_id,target,prompt_type,prompt,image_name,label,score,bbox_area_ratio,visualization_path,localization_quality,error_type,notes
1,3,sleeve,baseline,sleeve,106709.jpg,sleeve,0.31011250615119934,0.33270606746445236,outputs\grounding_manual_audit\sleeve\baseline\01_106709.jpg,,,
2,1,sleeve,baseline,sleeve,025354.jpg,sleeve,0.3138134777545929,0.4575065628616766,outputs\grounding_manual_audit\sleeve\baseline\02_025354.jpg,,,
3,1,sleeve,baseline,sleeve,022791.jpg,sleeve,0.43775033950805664,0.11962629139015088,outputs\grounding_manual_audit\sleeve\baseline\03_022791.jpg,,,
4,2,sleeve,baseline,sleeve,068877.jpg,sleeve,0.31479743123054504,0.0892144356392622,outputs\grounding_manual_audit\sleeve\baseline\04_068877.jpg,,,
5,2,sleeve,baseline,sleeve,055739.jpg,sleeve,0.3215658664703369,0.08076170660500595,outputs\grounding_manual_audit\sleeve\baseline\05_055739.jpg,,,
6,2,sleeve,context,shirt sleeve,147160.jpg,shirt sleeve,0.3608763515949249,0.4126862562748736,outputs\grounding_manual_audit\sleeve\context\06_147160.jpg,,,
7,1,sleeve,context,shirt sleeve,097041.jpg,shirt sleeve,0.3218120038509369,0.4622009485088548,outputs\grounding_manual_audit\sleeve\context\07_097041.jpg,,,
8,1,sleeve,context,shirt sleeve,076855.jpg,sleeve,0.36312025785446167,0.0830416070887522,outputs\grounding_manual_audit\sleeve\context\08_076855.jpg,,,
9,1,sleeve,context,shirt sleeve,011391.jpg,shirt sleeve,0.35267719626426697,0.06061037216832551,outputs\grounding_manual_audit\sleeve\context\09_011391.jpg,,,
10,3,sleeve,context,shirt sleeve,060324.jpg,shirt sleeve,0.3695896863937378,0.1299917939985561,outputs\grounding_manual_audit\sleeve\context\10_060324.jpg,,,
11,1,collar,baseline,collar,057315.jpg,collar,0.3734091818332672,0.20692875758568335,outputs\grounding_manual_audit\collar\baseline\11_057315.jpg,,,
12,1,collar,baseline,collar,024562.jpg,collar,0.4212842583656311,0.05099910142434445,outputs\grounding_manual_audit\collar\baseline\12_024562.jpg,,,
13,1,collar,baseline,collar,040759.jpg,collar,0.36054182052612305,0.00734136690235791,outputs\grounding_manual_audit\collar\baseline\13_040759.jpg,,,
14,2,collar,baseline,collar,082491.jpg,collar,0.30804774165153503,0.8149252344469583,outputs\grounding_manual_audit\collar\baseline\14_082491.jpg,,,
15,2,collar,baseline,collar,068877.jpg,collar,0.40133845806121826,0.04743926545216391,outputs\grounding_manual_audit\collar\baseline\15_068877.jpg,,,
16,2,collar,context,shirt collar,030030.jpg,shirt collar,0.3228633403778076,0.10922890656871549,outputs\grounding_manual_audit\collar\context\16_030030.jpg,,,
17,2,collar,context,shirt collar,084976.jpg,shirt collar,0.3426254987716675,0.03657568141626701,outputs\grounding_manual_audit\collar\context\17_084976.jpg,,,
18,1,collar,context,shirt collar,026869.jpg,shirt collar,0.38667094707489014,0.2223123300963353,outputs\grounding_manual_audit\collar\context\18_026869.jpg,,,
