sample_id,group_id,image_name,relative_path,sleeve_present,collar_present,button_present,zipper_present,notes
1,1,167622.jpg,raw/train/train/image/167622.jpg,,,,,
2,1,029185.jpg,raw/train/train/image/029185.jpg,,,,,
3,1,006557.jpg,raw/train/train/image/006557.jpg,,,,,
4,1,072098.jpg,raw/train/train/image/072098.jpg,,,,,
5,1,064197.jpg,raw/train/train/image/064197.jpg,,,,,
6,1,058514.jpg,raw/train/train/image/058514.jpg,,,,,
7,1,036580.jpg,raw/train/train/image/036580.jpg,,,,,
8,1,026869.jpg,raw/train/train/image/026869.jpg,,,,,
9,1,177393.jpg,raw/train/train/image/177393.jpg,,,,,
10,1,142965.jpg,raw/train/train/image/142965.jpg,,,,,
11,1,022791.jpg,raw/train/train/image/022791.jpg,,,,,
12,1,154795.jpg,raw/train/train/image/154795.jpg,,,,,
13,1,110605.jpg,raw/train/train/image/110605.jpg,,,,,
14,1,008332.jpg,raw/train/train/image/008332.jpg,,,,,
15,1,007812.jpg,raw/train/train/image/007812.jpg,,,,,
16,1,024562.jpg,raw/train/train/image/024562.jpg,,,,,
17,1,057315.jpg,raw/train/train/image/057315.jpg,,,,,
18,1,060991.jpg,raw/train/train/image/060991.jpg,,,,,
19,1,132476.jpg,raw/train/train/image/132476.jpg,,,,,
20,1,157816.jpg,raw/train/train/image/157816.jpg,,,,,
21,1,006957.jpg,raw/train/train/image/006957.jpg,,,,,
22,1,147128.jpg,raw/train/train/image/147128.jpg,,,,,
23,1,052125.jpg,raw/train/train/image/052125.jpg,,,,,
24,1,187701.jpg,raw/train/train/image/187701.jpg,,,,,
25,1,170364.jpg,raw/train/train/image/170364.jpg,,,,,
26,1,183849.jpg,raw/train/train/image/183849.jpg,,,,,
27,1,142854.jpg,raw/train/train/image/142854.jpg,,,,,
28,1,109975.jpg,raw/train/train/image/109975.jpg,,,,,
29,1,057788.jpg,raw/train/train/image/057788.jpg,,,,,
30,1,117758.jpg,raw/train/train/image/117758.jpg,,,,,
31,1,154473.jpg,raw/train/train/image/154473.jpg,,,,,
32,1,072927.jpg,raw/train/train/image/072927.jpg,,,,,
33,1,001704.jpg,raw/train/train/image/001704.jpg,,,,,
34,1,041854.jpg,raw/train/train/image/041854.jpg,,,,,
35,1,183014.jpg,raw/train/train/image/183014.jpg,,,,,
36,1,110786.jpg,raw/train/train/image/110786.jpg,,,,,
37,1,089195.jpg,raw/train/train/image/089195.jpg,,,,,
38,1,072843.jpg,raw/train/train/image/072843.jpg,,,,,
39,1,040759.jpg,raw/train/train/image/040759.jpg,,,,,
40,1,056444.jpg,raw/train/train/image/056444.jpg,,,,,
41,1,088237.jpg,raw/train/train/image/088237.jpg,,,,,
42,1,026794.jpg,raw/train/train/image/026794.jpg,,,,,
43,1,024313.jpg,raw/train/train/image/024313.jpg,,,,,
